"Notes"	"Standard Residence States"	"Standard Residence States Code"	"Year"	"Year Code"	Fetal Deaths
"Total"	"North Carolina"	"37"			12969
	"North Dakota"	"38"	"2005"	"2005"	46
	"North Dakota"	"38"	"2006"	"2006"	49
	"North Dakota"	"38"	"2007"	"2007"	54
	"North Dakota"	"38"	"2008"	"2008"	36
	"North Dakota"	"38"	"2009"	"2009"	45
	"North Dakota"	"38"	"2010"	"2010"	55
	"North Dakota"	"38"	"2011"	"2011"	52
	"North Dakota"	"38"	"2012"	"2012"	71
	"North Dakota"	"38"	"2013"	"2013"	56
	"North Dakota"	"38"	"2014"	"2014"	59
	"North Dakota"	"38"	"2015"	"2015"	69
	"North Dakota"	"38"	"2016"	"2016"	71
	"North Dakota"	"38"	"2017"	"2017"	56
	"North Dakota"	"38"	"2018"	"2018"	60
	"North Dakota"	"38"	"2019"	"2019"	66
	"North Dakota"	"38"	"2020"	"2020"	61
"Total"	"North Dakota"	"38"			906
	"Ohio"	"39"	"2005"	"2005"	898
	"Ohio"	"39"	"2006"	"2006"	939
	"Ohio"	"39"	"2007"	"2007"	903
	"Ohio"	"39"	"2008"	"2008"	878
	"Ohio"	"39"	"2009"	"2009"	869
	"Ohio"	"39"	"2010"	"2010"	826
	"Ohio"	"39"	"2011"	"2011"	919
	"Ohio"	"39"	"2012"	"2012"	909
	"Ohio"	"39"	"2013"	"2013"	888
	"Ohio"	"39"	"2014"	"2014"	881
	"Ohio"	"39"	"2015"	"2015"	897
	"Ohio"	"39"	"2016"	"2016"	913
	"Ohio"	"39"	"2017"	"2017"	864
	"Ohio"	"39"	"2018"	"2018"	893
	"Ohio"	"39"	"2019"	"2019"	850
	"Ohio"	"39"	"2020"	"2020"	746
"Total"	"Ohio"	"39"			14073
	"Oklahoma"	"40"	"2005"	"2005"	288
	"Oklahoma"	"40"	"2006"	"2006"	301
	"Oklahoma"	"40"	"2007"	"2007"	302
	"Oklahoma"	"40"	"2008"	"2008"	294
	"Oklahoma"	"40"	"2009"	"2009"	292
	"Oklahoma"	"40"	"2010"	"2010"	278
	"Oklahoma"	"40"	"2011"	"2011"	249
	"Oklahoma"	"40"	"2012"	"2012"	277
	"Oklahoma"	"40"	"2013"	"2013"	273
	"Oklahoma"	"40"	"2014"	"2014"	269
	"Oklahoma"	"40"	"2015"	"2015"	281
	"Oklahoma"	"40"	"2016"	"2016"	333
	"Oklahoma"	"40"	"2017"	"2017"	261
	"Oklahoma"	"40"	"2018"	"2018"	286
	"Oklahoma"	"40"	"2019"	"2019"	282
	"Oklahoma"	"40"	"2020"	"2020"	302
"Total"	"Oklahoma"	"40"			4568
	"Oregon"	"41"	"2005"	"2005"	203
	"Oregon"	"41"	"2006"	"2006"	207
	"Oregon"	"41"	"2007"	"2007"	188
	"Oregon"	"41"	"2008"	"2008"	269
	"Oregon"	"41"	"2009"	"2009"	247
	"Oregon"	"41"	"2010"	"2010"	228
	"Oregon"	"41"	"2011"	"2011"	220
	"Oregon"	"41"	"2012"	"2012"	250
	"Oregon"	"41"	"2013"	"2013"	224
	"Oregon"	"41"	"2014"	"2014"	220
	"Oregon"	"41"	"2015"	"2015"	211
	"Oregon"	"41"	"2016"	"2016"	209
	"Oregon"	"41"	"2017"	"2017"	214
	"Oregon"	"41"	"2018"	"2018"	200
	"Oregon"	"41"	"2019"	"2019"	189
	"Oregon"	"41"	"2020"	"2020"	205
"Total"	"Oregon"	"41"			3484
	"Pennsylvania"	"42"	"2005"	"2005"	1031
	"Pennsylvania"	"42"	"2006"	"2006"	963
	"Pennsylvania"	"42"	"2007"	"2007"	1089
	"Pennsylvania"	"42"	"2008"	"2008"	1061
	"Pennsylvania"	"42"	"2009"	"2009"	1033
	"Pennsylvania"	"42"	"2010"	"2010"	993
	"Pennsylvania"	"42"	"2011"	"2011"	972
	"Pennsylvania"	"42"	"2012"	"2012"	1003
	"Pennsylvania"	"42"	"2013"	"2013"	880
	"Pennsylvania"	"42"	"2014"	"2014"	842
	"Pennsylvania"	"42"	"2015"	"2015"	873
	"Pennsylvania"	"42"	"2016"	"2016"	856
	"Pennsylvania"	"42"	"2017"	"2017"	840
	"Pennsylvania"	"42"	"2018"	"2018"	823
	"Pennsylvania"	"42"	"2019"	"2019"	802
	"Pennsylvania"	"42"	"2020"	"2020"	668
"Total"	"Pennsylvania"	"42"			14729
	"Rhode Island"	"44"	"2005"	"2005"	83
	"Rhode Island"	"44"	"2006"	"2006"	58
	"Rhode Island"	"44"	"2007"	"2007"	57
	"Rhode Island"	"44"	"2008"	"2008"	55
	"Rhode Island"	"44"	"2009"	"2009"	53
	"Rhode Island"	"44"	"2010"	"2010"	64
	"Rhode Island"	"44"	"2011"	"2011"	61
	"Rhode Island"	"44"	"2012"	"2012"	69
	"Rhode Island"	"44"	"2013"	"2013"	73
	"Rhode Island"	"44"	"2014"	"2014"	54
	"Rhode Island"	"44"	"2015"	"2015"	51
	"Rhode Island"	"44"	"2016"	"2016"	67
	"Rhode Island"	"44"	"2017"	"2017"	56
	"Rhode Island"	"44"	"2018"	"2018"	59
	"Rhode Island"	"44"	"2019"	"2019"	49
	"Rhode Island"	"44"	"2020"	"2020"	63
"Total"	"Rhode Island"	"44"			972
	"South Carolina"	"45"	"2005"	"2005"	500
	"South Carolina"	"45"	"2006"	"2006"	589
	"South Carolina"	"45"	"2007"	"2007"	577
	"South Carolina"	"45"	"2008"	"2008"	521
	"South Carolina"	"45"	"2009"	"2009"	544
	"South Carolina"	"45"	"2010"	"2010"	520
	"South Carolina"	"45"	"2011"	"2011"	495
	"South Carolina"	"45"	"2012"	"2012"	517
	"South Carolina"	"45"	"2013"	"2013"	445
	"South Carolina"	"45"	"2014"	"2014"	496
	"South Carolina"	"45"	"2015"	"2015"	448
	"South Carolina"	"45"	"2016"	"2016"	450
	"South Carolina"	"45"	"2017"	"2017"	388
	"South Carolina"	"45"	"2018"	"2018"	342
	"South Carolina"	"45"	"2019"	"2019"	345
	"South Carolina"	"45"	"2020"	"2020"	310
"Total"	"South Carolina"	"45"			7487
	"South Dakota"	"46"	"2005"	"2005"	46
	"South Dakota"	"46"	"2006"	"2006"	32
	"South Dakota"	"46"	"2007"	"2007"	59
	"South Dakota"	"46"	"2008"	"2008"	63
	"South Dakota"	"46"	"2009"	"2009"	63
	"South Dakota"	"46"	"2010"	"2010"	79
	"South Dakota"	"46"	"2011"	"2011"	70
	"South Dakota"	"46"	"2012"	"2012"	71
	"South Dakota"	"46"	"2013"	"2013"	64
	"South Dakota"	"46"	"2014"	"2014"	82
	"South Dakota"	"46"	"2015"	"2015"	78
	"South Dakota"	"46"	"2016"	"2016"	87
	"South Dakota"	"46"	"2017"	"2017"	72
	"South Dakota"	"46"	"2018"	"2018"	51
	"South Dakota"	"46"	"2019"	"2019"	69
	"South Dakota"	"46"	"2020"	"2020"	67
"Total"	"South Dakota"	"46"			1053
	"Tennessee"	"47"	"2005"	"2005"	393
	"Tennessee"	"47"	"2006"	"2006"	400
	"Tennessee"	"47"	"2007"	"2007"	414
	"Tennessee"	"47"	"2008"	"2008"	407
	"Tennessee"	"47"	"2009"	"2009"	376
	"Tennessee"	"47"	"2010"	"2010"	453
	"Tennessee"	"47"	"2011"	"2011"	593
	"Tennessee"	"47"	"2012"	"2012"	633
	"Tennessee"	"47"	"2013"	"2013"	569
	"Tennessee"	"47"	"2014"	"2014"	581
	"Tennessee"	"47"	"2015"	"2015"	593
	"Tennessee"	"47"	"2016"	"2016"	592
	"Tennessee"	"47"	"2017"	"2017"	553
	"Tennessee"	"47"	"2018"	"2018"	586
	"Tennessee"	"47"	"2019"	"2019"	498
	"Tennessee"	"47"	"2020"	"2020"	520
"Total"	"Tennessee"	"47"			8161
	"Texas"	"48"	"2005"	"2005"	2082
	"Texas"	"48"	"2006"	"2006"	2162
	"Texas"	"48"	"2007"	"2007"	2172
	"Texas"	"48"	"2008"	"2008"	2238
	"Texas"	"48"	"2009"	"2009"	2043
	"Texas"	"48"	"2010"	"2010"	1924
	"Texas"	"48"	"2011"	"2011"	1884
	"Texas"	"48"	"2012"	"2012"	1800
	"Texas"	"48"	"2013"	"2013"	1905
	"Texas"	"48"	"2014"	"2014"	1969
	"Texas"	"48"	"2015"	"2015"	2024
	"Texas"	"48"	"2016"	"2016"	1891
	"Texas"	"48"	"2017"	"2017"	1755
	"Texas"	"48"	"2018"	"2018"	1745
	"Texas"	"48"	"2019"	"2019"	1504
	"Texas"	"48"	"2020"	"2020"	1492
"Total"	"Texas"	"48"			30590
	"Utah"	"49"	"2005"	"2005"	266
	"Utah"	"49"	"2006"	"2006"	243
	"Utah"	"49"	"2007"	"2007"	262
	"Utah"	"49"	"2008"	"2008"	302
	"Utah"	"49"	"2009"	"2009"	294
	"Utah"	"49"	"2010"	"2010"	290
	"Utah"	"49"	"2011"	"2011"	279
	"Utah"	"49"	"2012"	"2012"	260
	"Utah"	"49"	"2013"	"2013"	294
	"Utah"	"49"	"2014"	"2014"	289
	"Utah"	"49"	"2015"	"2015"	281
	"Utah"	"49"	"2016"	"2016"	301
	"Utah"	"49"	"2017"	"2017"	253
	"Utah"	"49"	"2018"	"2018"	317
	"Utah"	"49"	"2019"	"2019"	246
	"Utah"	"49"	"2020"	"2020"	235
"Total"	"Utah"	"49"			4412
	"Vermont"	"50"	"2005"	"2005"	31
	"Vermont"	"50"	"2006"	"2006"	34
	"Vermont"	"50"	"2007"	"2007"	39
	"Vermont"	"50"	"2008"	"2008"	34
	"Vermont"	"50"	"2009"	"2009"	25
	"Vermont"	"50"	"2010"	"2010"	26
	"Vermont"	"50"	"2011"	"2011"	21
	"Vermont"	"50"	"2012"	"2012"	25
	"Vermont"	"50"	"2013"	"2013"	27
	"Vermont"	"50"	"2014"	"2014"	24
	"Vermont"	"50"	"2015"	"2015"	24
	"Vermont"	"50"	"2016"	"2016"	30
	"Vermont"	"50"	"2017"	"2017"	24
	"Vermont"	"50"	"2018"	"2018"	16
	"Vermont"	"50"	"2019"	"2019"	20
	"Vermont"	"50"	"2020"	"2020"	27
"Total"	"Vermont"	"50"			427
	"Virginia"	"51"	"2005"	"2005"	693
	"Virginia"	"51"	"2006"	"2006"	658
	"Virginia"	"51"	"2007"	"2007"	827
	"Virginia"	"51"	"2008"	"2008"	773
	"Virginia"	"51"	"2009"	"2009"	686
	"Virginia"	"51"	"2010"	"2010"	749
	"Virginia"	"51"	"2011"	"2011"	657
	"Virginia"	"51"	"2012"	"2012"	668
	"Virginia"	"51"	"2013"	"2013"	652
	"Virginia"	"51"	"2014"	"2014"	584
	"Virginia"	"51"	"2015"	"2015"	554
	"Virginia"	"51"	"2016"	"2016"	597
	"Virginia"	"51"	"2017"	"2017"	489
	"Virginia"	"51"	"2018"	"2018"	573
	"Virginia"	"51"	"2019"	"2019"	485
	"Virginia"	"51"	"2020"	"2020"	466
"Total"	"Virginia"	"51"			10111
	"Washington"	"53"	"2005"	"2005"	496
	"Washington"	"53"	"2006"	"2006"	495
	"Washington"	"53"	"2007"	"2007"	487
	"Washington"	"53"	"2008"	"2008"	538
	"Washington"	"53"	"2009"	"2009"	488
	"Washington"	"53"	"2010"	"2010"	497
	"Washington"	"53"	"2011"	"2011"	577
	"Washington"	"53"	"2012"	"2012"	506
	"Washington"	"53"	"2013"	"2013"	520
	"Washington"	"53"	"2014"	"2014"	527
	"Washington"	"53"	"2015"	"2015"	485
	"Washington"	"53"	"2016"	"2016"	491
	"Washington"	"53"	"2017"	"2017"	507
	"Washington"	"53"	"2018"	"2018"	488
	"Washington"	"53"	"2019"	"2019"	484
	"Washington"	"53"	"2020"	"2020"	448
"Total"	"Washington"	"53"			8034
	"West Virginia"	"54"	"2005"	"2005"	126
	"West Virginia"	"54"	"2006"	"2006"	138
	"West Virginia"	"54"	"2007"	"2007"	124
	"West Virginia"	"54"	"2008"	"2008"	103
	"West Virginia"	"54"	"2009"	"2009"	132
	"West Virginia"	"54"	"2010"	"2010"	112
	"West Virginia"	"54"	"2011"	"2011"	100
	"West Virginia"	"54"	"2012"	"2012"	99
	"West Virginia"	"54"	"2013"	"2013"	101
	"West Virginia"	"54"	"2014"	"2014"	101
	"West Virginia"	"54"	"2015"	"2015"	101
	"West Virginia"	"54"	"2016"	"2016"	109
	"West Virginia"	"54"	"2017"	"2017"	110
	"West Virginia"	"54"	"2018"	"2018"	113
	"West Virginia"	"54"	"2019"	"2019"	79
	"West Virginia"	"54"	"2020"	"2020"	80
"Total"	"West Virginia"	"54"			1728
	"Wisconsin"	"55"	"2005"	"2005"	364
	"Wisconsin"	"55"	"2006"	"2006"	390
	"Wisconsin"	"55"	"2007"	"2007"	397
	"Wisconsin"	"55"	"2008"	"2008"	394
	"Wisconsin"	"55"	"2009"	"2009"	355
	"Wisconsin"	"55"	"2010"	"2010"	361
	"Wisconsin"	"55"	"2011"	"2011"	368
	"Wisconsin"	"55"	"2012"	"2012"	378
	"Wisconsin"	"55"	"2013"	"2013"	343
	"Wisconsin"	"55"	"2014"	"2014"	330
	"Wisconsin"	"55"	"2015"	"2015"	342
	"Wisconsin"	"55"	"2016"	"2016"	332
	"Wisconsin"	"55"	"2017"	"2017"	306
	"Wisconsin"	"55"	"2018"	"2018"	330
	"Wisconsin"	"55"	"2019"	"2019"	342
	"Wisconsin"	"55"	"2020"	"2020"	317
"Total"	"Wisconsin"	"55"			5649
	"Wyoming"	"56"	"2005"	"2005"	42
	"Wyoming"	"56"	"2006"	"2006"	42
	"Wyoming"	"56"	"2007"	"2007"	35
	"Wyoming"	"56"	"2008"	"2008"	45
	"Wyoming"	"56"	"2009"	"2009"	41
	"Wyoming"	"56"	"2010"	"2010"	35
	"Wyoming"	"56"	"2011"	"2011"	41
	"Wyoming"	"56"	"2012"	"2012"	40
	"Wyoming"	"56"	"2013"	"2013"	37
	"Wyoming"	"56"	"2014"	"2014"	45
	"Wyoming"	"56"	"2015"	"2015"	42
	"Wyoming"	"56"	"2016"	"2016"	39
	"Wyoming"	"56"	"2017"	"2017"	35
	"Wyoming"	"56"	"2018"	"2018"	40
	"Wyoming"	"56"	"2019"	"2019"	40
	"Wyoming"	"56"	"2020"	"2020"	31
"Total"	"Wyoming"	"56"			630
"Total"					385135
"---"
"Dataset: Fetal Deaths, 2005-2020"
"Query Parameters:"
"Group By: Standard Residence States; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/fetal-deaths.html for more information."
"---"
"Query Date: Nov 1, 2022 6:52:37 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Fetal Deaths on CDC WONDER Online Database. Data are from the Fetal Death Records 2005-2020, as compiled from data"
"provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/fetal-deaths-current.html on Nov 1, 2022 6:52:37 PM"
"---"
Caveats:
"1. Beginning in 2014, NCHS changed the standard for gestational period from the Last Menstrual Period (LMP) based gestational"
"age to the Obstetric/clinical Estimate (OE) based gestational age. This change has resulted in a discontinuity in identifying"
"fetal deaths at 20 weeks or greater for inclusion in this dataset. Refer to the User Guide to the Fetal Death Public Use File:"
"https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm. and the Measuring Gestational Age in Vital Statistics Data:"
"Transitioning to the Obstetric Estimate: https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_05.pdf. report for more information."
